network_ID,colony,date,node_ID,ID,x,y,species,nest.size,year,tree_type,treatment,dataset
12_2017-08-22,12,22/08/2017,12_N19,N19,-14.4768338,3.341494072,nest,53.419,2017,regular,exclusion,Empirical exclusion
12_2017-08-22,12,22/08/2017,12_N21,N21,-22.17377386,10.77433429,nest,1.626,2017,regular,exclusion,Empirical exclusion
12_2017-08-22,12,22/08/2017,12_N23,N23,-23.81000805,12.79491284,nest,0.561,2017,regular,exclusion,Empirical exclusion
12_2017-08-22,12,22/08/2017,12_N24,N24,14.10636087,5.014039125,nest,140.954,2017,regular,exclusion,Empirical exclusion
12_2017-08-22,12,22/08/2017,12_N25,N25,13.56365712,6.334968827,nest,3.753,2017,regular,exclusion,Empirical exclusion
12_2017-08-22,12,22/08/2017,12_N3,N3,1.792672664,1.034999864,nest,101.472,2017,regular,exclusion,Empirical exclusion
12_2017-08-22,12,22/08/2017,12_N4,N4,0,0,nest,193.405,2017,regular,exclusion,Empirical exclusion
12_2017-08-22,12,22/08/2017,12_N5,N5,-0.475737539,-6.803386935,nest,176.95,2017,regular,exclusion,Empirical exclusion
12_2017-08-22,12,22/08/2017,12_T1,T1,14.05750126,6.413186272,tree,0,2017,regular,exclusion,Empirical exclusion
12_2017-08-22,12,22/08/2017,12_T10,T10,-25.55467276,14.03922672,tree,0,2017,regular,exclusion,Empirical exclusion
12_2017-08-22,12,22/08/2017,12_T11,T11,-22.81601568,11.21625546,tree,0,2017,regular,exclusion,Empirical exclusion
12_2017-08-22,12,22/08/2017,12_T2,T2,6.719719177,8.920695916,tree,0,2017,regular,exclusion,Empirical exclusion
12_2017-08-22,12,22/08/2017,12_T4,T4,-6.080843308,-13.48329632,tree,0,2017,regular,exclusion,Empirical exclusion
12_2017-08-22,12,22/08/2017,12_T5,T5,-2.082613327,-8.860095521,tree,0,2017,regular,exclusion,Empirical exclusion
12_2017-08-22,12,22/08/2017,12_T6,T6,-6.14190775,1.785842484,tree,0,2017,regular,exclusion,Empirical exclusion
12_2017-08-22,12,22/08/2017,12_T7,T7,-14.02006115,3.544862573,tree,0,2017,regular,exclusion,Empirical exclusion
12_2017-08-22,12,22/08/2017,12_T13,T13,12.62066594,-9.169448791,tree,0,2017,regular,exclusion,Empirical exclusion
